Unnamed: 0,Enter your name,Enter your email id,What  Age Group do you fall in,Kindly mention your gender,Do you currently own a two-wheeler?,"According to your age group, which bike type is most suitable?  ",Why do you think this type of bike suits your age group best? ,Best bike type for Below 20 years (students/young riders):,Best bike type for 21–30 years (working professionals/young adults):,Best bike type for 31–40 years (family-oriented riders):,  Best bike type for 41–50 years (mid-age riders):,Best bike type for 51 years & above (senior riders):,"When choosing a bike, which feature is most important to you?  ",What price range is affordable for your age group?  ,Do you think electric bikes are a good option for your age group?  ,Timestamp,"According to your age group, which bike type is most suitable?","When choosing a bike, which feature is most important to you?",What price range is affordable for your age group?,Do you think electric bikes are a good option for your age group?
Unknown,Riaan Gandhi,shlokraval@gmail.com,51 Years and above,Prefer not to say,Yes – Electric Bike,Cruiser (comfortable for long rides),Performance & Speed,Higher power Bikes(200cc and above),Cruiser (comfortable for city + touring),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,03-05-2025 22:00,"Scooter (gearless, lightweight)",Low maintenance cost,"₹1,00,000–₹1,50,000",Not sure
Unknown,Samar Kadakia,jhaveribiju@hotmail.com,51 Years and above,Male,Yes – Electric Bike,"Electric Bike (eco-friendly, modern)",Safety features,Electric bike/scooter,"Commuter (150–200cc, mileage + performance balance)","Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,26-08-2025 12:43,"Scooter (gearless, lightweight)",Mileage / Fuel efficiency,"₹1,00,000–₹1,50,000","Yes – Good for city rides, but not long tours"
Unknown,Dishani Bedi,zachariahanahi@gmail.com,31-40 Years,Female,Yes – Scooter (gearless),Sports Bike (performance-oriented),Performance & Speed,"Scooter (lightweight, gearless)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,18-04-2025 21:48,Cruiser (comfortable for long rides),Comfort & Ease of riding,"₹70,000–₹1,00,000",Not sure
Unknown,Kanav Talwar,vidurgole@dhawan.info,21-30 Years,Prefer not to say,No,Cruiser (comfortable for long rides),Stylish design / Looks,Electric bike/scooter,Electric Bike,"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,19-01-2025 16:39,Cruiser (comfortable for long rides),Low maintenance cost,"Below ₹70,000","Yes – Good for city rides, but not long tours"
Unknown,Anya Dey,grewalanika@sabharwal-ratti.com,21-30 Years,Female,Yes – Sports Bike,"Scooter (gearless, lightweight)",Performance & Speed,Entry-level Sports (150cc),Cruiser (comfortable for city + touring),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,23-07-2025 02:44,Sports Bike (performance-oriented),Performance & Speed,"Above ₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Drishya Salvi,xkhatri@yahoo.com,31-40 Years,Female,Yes – Electric Bike,Cruiser (comfortable for long rides),Stylish design / Looks,Entry-level Sports (150cc),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,29-10-2025 13:40,Cruiser (comfortable for long rides),Resale value,"Below ₹70,000",Yes – Affordable and eco-friendly
Unknown,Drishya Chandra,etata@chander-lala.biz,Below 20 years,Female,Yes – Sports Bike,"Scooter (gearless, lightweight)",Low maintenance cost,Higher power Bikes(200cc and above),Electric Bike,"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,26-06-2025 22:11,Sports Bike (performance-oriented),Low maintenance cost,"Above ₹1,50,000",No – Too costly compared to fuel bikes
Unknown,Rohan Mane,sbhatnagar@setty.biz,41-50 Years,Prefer not to say,Yes – Commuter (100–150cc),"Scooter (gearless, lightweight)",Comfort & Ease of riding,Entry-level Sports (150cc),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,25-05-2025 06:52,"Commuter (100–150cc, mileage-focused)",Safety features,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Vanya Saini,sbaria@yahoo.com,51 Years and above,Male,Yes – Scooter (gearless),"Scooter (gearless, lightweight)",Performance & Speed,"Scooter (lightweight, gearless)",Cruiser (comfortable for city + touring),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,01-01-2025 21:45,"Electric Bike (eco-friendly, modern)",Low maintenance cost,"Above ₹1,50,000",Not sure
Unknown,Amani Dar,pihu68@yahoo.com,31-40 Years,Prefer not to say,Yes – Cruiser,Cruiser (comfortable for long rides),Safety features,Higher power Bikes(200cc and above),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,30-04-2025 08:08,"Commuter (100–150cc, mileage-focused)",Low maintenance cost,"₹1,00,000–₹1,50,000","Yes – Good for city rides, but not long tours"
Unknown,Faiyaz Kanda,nitara01@gmail.com,Below 20 years,Female,Yes – Scooter (gearless),Sports Bike (performance-oriented),Comfort & Ease of riding,"Commuter bike (100–125cc, high mileage)",Cruiser (comfortable for city + touring),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,07-05-2025 07:39,"Scooter (gearless, lightweight)",Eco-friendliness (Electric option),"Above ₹1,50,000",No – Lack of charging/service support
Unknown,Samarth Chaudhry,fsood@garde.com,21-30 Years,Prefer not to say,No,"Scooter (gearless, lightweight)",Eco-friendliness (Electric option),"Scooter (lightweight, gearless)",Cruiser (comfortable for city + touring),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,26-08-2025 06:52,"Scooter (gearless, lightweight)",Performance & Speed,"Above ₹1,50,000","Yes – Good for city rides, but not long tours"
Unknown,Kiaan Ramanathan,uthkarsh85@hotmail.com,41-50 Years,Female,Yes – Commuter (100–150cc),Sports Bike (performance-oriented),Eco-friendliness (Electric option),"Scooter (lightweight, gearless)",Electric Bike,"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,10-07-2025 21:32,"Electric Bike (eco-friendly, modern)",Safety features,"Below ₹70,000","Yes – Good for city rides, but not long tours"
Unknown,Piya Goyal,cchopra@grewal-sunder.com,31-40 Years,Male,Yes – Sports Bike,Cruiser (comfortable for long rides),Comfort & Ease of riding,"Commuter bike (100–125cc, high mileage)",Cruiser (comfortable for city + touring),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,03-05-2025 23:41,"Commuter (100–150cc, mileage-focused)",Resale value,"₹1,00,000–₹1,50,000",No – Too costly compared to fuel bikes
Unknown,Pari Sidhu,gsavant@gmail.com,21-30 Years,Prefer not to say,Yes – Cruiser,Sports Bike (performance-oriented),Low maintenance cost,Entry-level Sports (150cc),Cruiser (comfortable for city + touring),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,14-06-2025 08:36,"Electric Bike (eco-friendly, modern)",Performance & Speed,"₹1,00,000–₹1,50,000",No – Too costly compared to fuel bikes
Unknown,Anaya Ben,faiyazuppal@hotmail.com,41-50 Years,Prefer not to say,Yes – Scooter (gearless),"Electric Bike (eco-friendly, modern)",Comfort & Ease of riding,"Commuter bike (100–125cc, high mileage)",Cruiser (comfortable for city + touring),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,18-02-2025 13:13,"Scooter (gearless, lightweight)",Comfort & Ease of riding,"₹70,000–₹1,00,000","Yes – Good for city rides, but not long tours"
Unknown,Reyansh Babu,keyadubey@yahoo.com,41-50 Years,Male,Yes – Scooter (gearless),"Scooter (gearless, lightweight)",Comfort & Ease of riding,Entry-level Sports (150cc),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,16-06-2025 22:36,"Commuter (100–150cc, mileage-focused)",Low maintenance cost,"₹70,000–₹1,00,000",Yes – Affordable and eco-friendly
Unknown,Elakshi Dhar,davekiara@guha-date.com,31-40 Years,Female,Yes – Electric Bike,"Commuter (100–150cc, mileage-focused)",Stylish design / Looks,"Scooter (lightweight, gearless)",Cruiser (comfortable for city + touring),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,12-02-2025 09:27,Sports Bike (performance-oriented),Safety features,"₹1,00,000–₹1,50,000",No – Too costly compared to fuel bikes
Unknown,Divit Handa,krishnanhridaan@yahoo.com,51 Years and above,Female,Yes – Cruiser,"Electric Bike (eco-friendly, modern)",Performance & Speed,Higher power Bikes(200cc and above),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,05-01-2025 11:41,"Electric Bike (eco-friendly, modern)",Performance & Speed,"₹70,000–₹1,00,000",Yes – Affordable and eco-friendly
Unknown,Tiya Raval,bassiaarush@bora.com,31-40 Years,Female,Yes – Electric Bike,"Commuter (100–150cc, mileage-focused)",Eco-friendliness (Electric option),Entry-level Sports (150cc),"Commuter (150–200cc, mileage + performance balance)","Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,18-03-2025 02:27,Cruiser (comfortable for long rides),Mileage / Fuel efficiency,"Above ₹1,50,000",Not sure
Unknown,Samiha Tripathi,obuch@kapur-gokhale.com,51 Years and above,Female,No,"Scooter (gearless, lightweight)",Stylish design / Looks,"Commuter bike (100–125cc, high mileage)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,20-09-2025 04:28,Sports Bike (performance-oriented),Resale value,"₹70,000–₹1,00,000",No – Too costly compared to fuel bikes
Unknown,Himmat Buch,ryan65@sharaf.com,Below 20 years,Female,Yes – Scooter (gearless),"Scooter (gearless, lightweight)",Stylish design / Looks,Electric bike/scooter,"Commuter (150–200cc, mileage + performance balance)","Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,12-09-2025 22:33,Sports Bike (performance-oriented),Eco-friendliness (Electric option),"Below ₹70,000",No – Lack of charging/service support
Unknown,Jiya Anne,fatehvenkataraman@hotmail.com,21-30 Years,Female,Yes – Sports Bike,Sports Bike (performance-oriented),Performance & Speed,"Commuter bike (100–125cc, high mileage)","Commuter (150–200cc, mileage + performance balance)","Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,20-05-2025 00:49,"Commuter (100–150cc, mileage-focused)",Safety features,"₹1,00,000–₹1,50,000",No – Lack of charging/service support
Unknown,Keya Tank,alia86@yahoo.com,51 Years and above,Male,Yes – Sports Bike,Cruiser (comfortable for long rides),Mileage / Fuel efficiency,Entry-level Sports (150cc),"Commuter (150–200cc, mileage + performance balance)","Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,26-07-2025 01:38,Cruiser (comfortable for long rides),Eco-friendliness (Electric option),"₹70,000–₹1,00,000",No – Too costly compared to fuel bikes
Unknown,Faiyaz Shanker,hiranchakrabarti@hotmail.com,51 Years and above,Female,No,Sports Bike (performance-oriented),Eco-friendliness (Electric option),"Scooter (lightweight, gearless)","Commuter (150–200cc, mileage + performance balance)","Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,20-06-2025 08:50,"Electric Bike (eco-friendly, modern)",Comfort & Ease of riding,"Below ₹70,000",Not sure
Unknown,Rania Bhatia,nchakraborty@hotmail.com,51 Years and above,Male,Yes – Commuter (100–150cc),"Electric Bike (eco-friendly, modern)",Eco-friendliness (Electric option),"Scooter (lightweight, gearless)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,23-09-2025 05:48,Cruiser (comfortable for long rides),Eco-friendliness (Electric option),"Above ₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Kimaya Jha,baradbaiju@bera-sawhney.com,Below 20 years,Male,Yes – Sports Bike,"Scooter (gearless, lightweight)",Eco-friendliness (Electric option),Entry-level Sports (150cc),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,22-09-2025 09:54,Sports Bike (performance-oriented),Low maintenance cost,"Below ₹70,000",No – Lack of charging/service support
Unknown,Lakshay Dani,tkale@yahoo.com,51 Years and above,Female,Yes – Commuter (100–150cc),Sports Bike (performance-oriented),Eco-friendliness (Electric option),Electric bike/scooter,Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,02-02-2025 17:35,"Commuter (100–150cc, mileage-focused)",Mileage / Fuel efficiency,"₹70,000–₹1,00,000",Yes – Affordable and eco-friendly
Unknown,Kabir Swamy,danijayesh@brahmbhatt-sane.com,31-40 Years,Male,Yes – Sports Bike,"Scooter (gearless, lightweight)",Performance & Speed,"Scooter (lightweight, gearless)",Electric Bike,"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,29-04-2025 03:07,"Electric Bike (eco-friendly, modern)",Safety features,"Below ₹70,000",No – Too costly compared to fuel bikes
Unknown,Gatik Rajagopal,mdass@jayaraman-ramakrishnan.com,41-50 Years,Female,Yes – Sports Bike,"Scooter (gearless, lightweight)",Comfort & Ease of riding,"Scooter (lightweight, gearless)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,20-10-2025 03:08,Sports Bike (performance-oriented),Low maintenance cost,"₹70,000–₹1,00,000",No – Too costly compared to fuel bikes
Unknown,Onkar Chaudhari,zainsandal@gmail.com,41-50 Years,Male,Yes – Electric Bike,Sports Bike (performance-oriented),Safety features,"Scooter (lightweight, gearless)",Electric Bike,"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,02-04-2025 17:07,"Commuter (100–150cc, mileage-focused)",Safety features,"₹70,000–₹1,00,000",Yes – Affordable and eco-friendly
Unknown,Fateh Bansal,akumer@srinivas.com,31-40 Years,Male,Yes – Electric Bike,"Scooter (gearless, lightweight)",Low maintenance cost,"Commuter bike (100–125cc, high mileage)",Electric Bike,"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,08-02-2025 00:36,"Commuter (100–150cc, mileage-focused)",Performance & Speed,"₹70,000–₹1,00,000",Not sure
Unknown,Kartik Dada,basaktiya@suri.com,51 Years and above,Female,Yes – Scooter (gearless),"Scooter (gearless, lightweight)",Comfort & Ease of riding,"Scooter (lightweight, gearless)","Commuter (150–200cc, mileage + performance balance)","Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,03-04-2025 18:59,Sports Bike (performance-oriented),Mileage / Fuel efficiency,"₹1,00,000–₹1,50,000",Not sure
Unknown,Nirvaan Bhagat,ehsaan45@bose-ranganathan.net,21-30 Years,Male,Yes – Commuter (100–150cc),Sports Bike (performance-oriented),Comfort & Ease of riding,Entry-level Sports (150cc),"Commuter (150–200cc, mileage + performance balance)","Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,03-10-2025 21:12,Cruiser (comfortable for long rides),Safety features,"₹70,000–₹1,00,000",Yes – Affordable and eco-friendly
Unknown,Divyansh Ghose,handafarhan@dave-chander.net,31-40 Years,Male,Yes – Scooter (gearless),"Scooter (gearless, lightweight)",Safety features,Higher power Bikes(200cc and above),"Commuter (150–200cc, mileage + performance balance)","Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,30-01-2025 16:39,Cruiser (comfortable for long rides),Safety features,"₹1,00,000–₹1,50,000","Yes – Good for city rides, but not long tours"
Unknown,Rohan Dasgupta,deeppranay@devan.com,51 Years and above,Male,Yes – Electric Bike,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,Electric bike/scooter,Cruiser (comfortable for city + touring),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,11-02-2025 13:32,"Electric Bike (eco-friendly, modern)",Comfort & Ease of riding,"Below ₹70,000",No – Lack of charging/service support
Unknown,Zeeshan Sachdeva,jayan33@choudhry.com,41-50 Years,Male,Yes – Scooter (gearless),Sports Bike (performance-oriented),Stylish design / Looks,"Scooter (lightweight, gearless)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,30-10-2025 17:22,Sports Bike (performance-oriented),Performance & Speed,"Below ₹70,000",Not sure
Unknown,Saanvi Handa,anyabobal@gmail.com,Below 20 years,Prefer not to say,Yes – Commuter (100–150cc),"Commuter (100–150cc, mileage-focused)",Stylish design / Looks,"Commuter bike (100–125cc, high mileage)","Commuter (150–200cc, mileage + performance balance)","Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,09-08-2025 13:18,Sports Bike (performance-oriented),Stylish design / Looks,"Below ₹70,000","Yes – Good for city rides, but not long tours"
Unknown,Riaan Barad,amirasane@sabharwal.com,Below 20 years,Female,Yes – Electric Bike,"Electric Bike (eco-friendly, modern)",Comfort & Ease of riding,Entry-level Sports (150cc),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,06-10-2025 12:16,"Scooter (gearless, lightweight)",Resale value,"Below ₹70,000","Yes – Good for city rides, but not long tours"
Unknown,Aradhya Iyengar,ddixit@hotmail.com,Below 20 years,Male,Yes – Scooter (gearless),Sports Bike (performance-oriented),Eco-friendliness (Electric option),"Scooter (lightweight, gearless)","Commuter (150–200cc, mileage + performance balance)","Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,12-05-2025 18:41,"Commuter (100–150cc, mileage-focused)",Performance & Speed,"Below ₹70,000",No – Too costly compared to fuel bikes
Unknown,Hansh Tiwari,yohannantara@hayer.biz,Below 20 years,Prefer not to say,No,"Commuter (100–150cc, mileage-focused)",Performance & Speed,"Commuter bike (100–125cc, high mileage)","Commuter (150–200cc, mileage + performance balance)","Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,23-04-2025 05:44,Sports Bike (performance-oriented),Eco-friendliness (Electric option),"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Veer Toor,ohari@gmail.com,21-30 Years,Prefer not to say,Yes – Sports Bike,"Scooter (gearless, lightweight)",Mileage / Fuel efficiency,Entry-level Sports (150cc),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,21-01-2025 03:24,"Scooter (gearless, lightweight)",Resale value,"₹1,00,000–₹1,50,000","Yes – Good for city rides, but not long tours"
Unknown,Jivika Manne,stuvanjhaveri@gmail.com,31-40 Years,Prefer not to say,No,Sports Bike (performance-oriented),Comfort & Ease of riding,Higher power Bikes(200cc and above),"Commuter (150–200cc, mileage + performance balance)","Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,20-07-2025 02:07,"Scooter (gearless, lightweight)",Safety features,"₹70,000–₹1,00,000",Yes – Affordable and eco-friendly
Unknown,Priyansh Dani,divij77@saha.org,21-30 Years,Female,Yes – Commuter (100–150cc),"Scooter (gearless, lightweight)",Performance & Speed,"Commuter bike (100–125cc, high mileage)",Cruiser (comfortable for city + touring),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,14-08-2025 12:40,"Scooter (gearless, lightweight)",Safety features,"₹70,000–₹1,00,000",Yes – Affordable and eco-friendly
Unknown,Yuvaan Desai,rchatterjee@toor.com,41-50 Years,Prefer not to say,Yes – Cruiser,Cruiser (comfortable for long rides),Comfort & Ease of riding,"Commuter bike (100–125cc, high mileage)",Cruiser (comfortable for city + touring),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,02-07-2025 04:52,Sports Bike (performance-oriented),Eco-friendliness (Electric option),"Below ₹70,000",Not sure
Unknown,Jivin Goswami,pkothari@gmail.com,51 Years and above,Male,Yes – Scooter (gearless),Cruiser (comfortable for long rides),Comfort & Ease of riding,Higher power Bikes(200cc and above),Cruiser (comfortable for city + touring),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,27-04-2025 19:09,Sports Bike (performance-oriented),Safety features,"Below ₹70,000",Not sure
Unknown,Faiyaz Sura,gvenkataraman@hotmail.com,21-30 Years,Female,Yes – Commuter (100–150cc),Cruiser (comfortable for long rides),Mileage / Fuel efficiency,Electric bike/scooter,Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,25-09-2025 06:34,Sports Bike (performance-oriented),Safety features,"Above ₹1,50,000",Not sure
Unknown,Baiju Kohli,parinaaz47@gmail.com,41-50 Years,Female,Yes – Commuter (100–150cc),Cruiser (comfortable for long rides),Performance & Speed,"Commuter bike (100–125cc, high mileage)",Cruiser (comfortable for city + touring),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,15-10-2025 06:07,"Scooter (gearless, lightweight)",Stylish design / Looks,"₹70,000–₹1,00,000",No – Lack of charging/service support
Unknown,Anay Chandra,kallacharvi@yahoo.com,Below 20 years,Prefer not to say,Yes – Sports Bike,"Scooter (gearless, lightweight)",Comfort & Ease of riding,"Scooter (lightweight, gearless)","Commuter (150–200cc, mileage + performance balance)","Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,26-09-2025 23:18,"Commuter (100–150cc, mileage-focused)",Stylish design / Looks,"₹70,000–₹1,00,000",Yes – Affordable and eco-friendly
Unknown,Jayan Kara,grewaldiya@bala.info,21-30 Years,Prefer not to say,No,"Scooter (gearless, lightweight)",Mileage / Fuel efficiency,"Scooter (lightweight, gearless)","Commuter (150–200cc, mileage + performance balance)","Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,08-08-2025 11:01,Cruiser (comfortable for long rides),Comfort & Ease of riding,"Below ₹70,000",Not sure
Unknown,Pihu Chand,inaaya-84@kaur.com,41-50 Years,Female,Yes – Commuter (100–150cc),"Scooter (gearless, lightweight)",Comfort & Ease of riding,Entry-level Sports (150cc),Cruiser (comfortable for city + touring),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,21-01-2025 13:18,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹1,00,000–₹1,50,000",No – Lack of charging/service support
Unknown,Kimaya Bail,parinaazmannan@sandhu.com,Below 20 years,Prefer not to say,Yes – Commuter (100–150cc),"Electric Bike (eco-friendly, modern)",Comfort & Ease of riding,"Commuter bike (100–125cc, high mileage)",Cruiser (comfortable for city + touring),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,06-10-2025 12:06,"Electric Bike (eco-friendly, modern)",Safety features,"Below ₹70,000",No – Lack of charging/service support
Unknown,Zoya Dasgupta,doraprisha@gmail.com,41-50 Years,Prefer not to say,Yes – Cruiser,"Commuter (100–150cc, mileage-focused)",Eco-friendliness (Electric option),Entry-level Sports (150cc),"Commuter (150–200cc, mileage + performance balance)","Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,31-01-2025 04:55,"Electric Bike (eco-friendly, modern)",Mileage / Fuel efficiency,"₹70,000–₹1,00,000",No – Too costly compared to fuel bikes
Unknown,Manikya Dugar,yakshitdesai@yahoo.com,51 Years and above,Male,Yes – Electric Bike,"Electric Bike (eco-friendly, modern)",Mileage / Fuel efficiency,Higher power Bikes(200cc and above),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,18-03-2025 09:15,Sports Bike (performance-oriented),Performance & Speed,"Above ₹1,50,000",No – Too costly compared to fuel bikes
Unknown,Vritika Malhotra,chowdhurymishti@hans-sahni.com,41-50 Years,Male,Yes – Cruiser,"Scooter (gearless, lightweight)",Safety features,Entry-level Sports (150cc),"Commuter (150–200cc, mileage + performance balance)","Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,24-02-2025 23:50,"Commuter (100–150cc, mileage-focused)",Resale value,"₹1,00,000–₹1,50,000",No – Too costly compared to fuel bikes
Unknown,Aarav Saxena,veerkarpe@sachdeva-dara.biz,21-30 Years,Prefer not to say,Yes – Commuter (100–150cc),"Electric Bike (eco-friendly, modern)",Mileage / Fuel efficiency,Entry-level Sports (150cc),Cruiser (comfortable for city + touring),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,27-02-2025 21:43,"Commuter (100–150cc, mileage-focused)",Low maintenance cost,"₹70,000–₹1,00,000",Yes – Affordable and eco-friendly
Unknown,Samiha Sankaran,bhargavaanay@mannan-rana.com,21-30 Years,Male,Yes – Commuter (100–150cc),"Scooter (gearless, lightweight)",Mileage / Fuel efficiency,Higher power Bikes(200cc and above),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,27-03-2025 07:16,Sports Bike (performance-oriented),Low maintenance cost,"₹70,000–₹1,00,000",No – Too costly compared to fuel bikes
